speaker,vowel,F1,F2
wun0F0kui0Tang2,i,289.01817082552583,808.4946909711824
wun0F0kui0Tang2,ā,986.624651872916,1440.6335809385698
wun0F0kui0Tang2,a,803.543880608185,1356.6349538011075
wun0F0kui0Tang2,u,253.704536270721,966.8183701745705
wun0F0kui0Tang2,u,285.08533395544896,1076.7664263068616
wun0F0kui0Tang2,a,560.361886319531,1470.0013282361008
wun0F0kui0Tang2,a,361.6574157023021,1164.3622593506946
wun0F0kui0Tang2,o,530.9152983767218,1019.1345024214783
wun0F0kui0Tang2,a,308.1734576571415,1108.894981390045
wun0F0kui0Tang2,a,496.17327003762716,1379.7916838901608
wun0F0kui0Tang2,a,970.1688070927444,1589.4739830910655
wun0F0kui0Tang2,ā,1040.5833411178526,1262.491253526582
wun0F0kui0Tang2,a,478.87625257654474,1835.5013220458222
wun0F0kui0Tang2,a,958.2546661159146,1448.6722380060414
wun0F0kui0Tang2,ā,563.5969737692337,1117.9118076862205
wun0F0kui0Tang2,o,338.89214644886306,784.198954199752
wun0F0kui0Tang2,i,333.309438895175,3162.0070726853032
wun0F0kui0Tang2,a,353.6137938090287,1971.7174735840053
wun0F0kui0Tang2,i,254.33336488140606,847.1490379659847
wun0F0kui0Tang2,a,373.97689232248166,990.0048492153745
wun0F0kui0Tang2,i,274.12676717383886,2178.7942235473115
wun0F0kui0Tang2,i,305.5747506525861,779.0271873883157
wun0F0kui0Tang2,i,1032.938608695305,2494.091029151478
wun0F0kui0Tang2,ā,378.7635890234325,914.596556897903
wun0F0kui0Tang2,a,874.7687621325794,1372.192753937914
wun0F0kui0Tang2,a,312.2249165509512,1090.0358503714122
wun0F0kui0Tang2,a,260.9891991716309,1607.752056220966
wun0F0kui0Tang2,a,749.677022612591,1313.7185195690058
wun0F0kui0Tang2,a,784.4724664247941,1053.4815257704233
wun0F0kui0Tang2,a,360.1649198413288,2654.997844300814
wun0F0kui0Tang2,a,375.98332569992357,948.7273231526627
wun0F0kui0Tang2,a,859.3892812151722,1123.5363062944823
wun0F0kui0Tang2,ā,928.7789768793456,1684.0403599549743
wun0F0kui0Tang2,a,763.5957087798874,1449.9571475079028
wun0F0kui0Tang2,a,835.6941562590874,1220.1890656588841
wun0F0kui0Tang2,a,362.8279361648334,1138.21780178283
wun0F0kui0Tang2,a,445.7829117972245,1017.8937799403707
